,activation,batch_size,input_keep_prob,layers_units,num_epochs,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent,columns_full,data_directory,data_name,features
0,tanh,32,1,"[64, 32]",1000,1,20,gru,3,12,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
1,tanh,32,1,[4],1000,1,20,lstm,4,18,0.5,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
2,tanh,16,1,"[16, 8]",1000,1,20,gru,3,6,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
3,tanh,32,1,"[16, 8]",1000,1,20,gru,4,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
4,tanh,32,1,[32],1000,1,20,lstm,5,12,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
5,tanh,32,1,"[16, 8]",1000,1,20,lstm,5,12,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
6,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
7,tanh,32,1,"[16, 8]",1000,1,20,lstm,4,24,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
8,tanh,32,1,[32],1000,1,20,gru,5,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
9,tanh,16,1,[32],1000,1,20,gru,4,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
10,tanh,32,1,"[64, 32]",1000,1,20,gru,3,18,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
11,tanh,32,1,"[8, 4]",1000,1,20,gru,5,18,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
12,tanh,32,1,"[16, 8]",1000,1,20,gru,4,24,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
13,tanh,32,1,"[8, 4]",1000,1,20,gru,4,24,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
14,tanh,32,1,"[16, 8]",1000,1,20,lstm,5,24,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
15,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,12,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
16,tanh,32,1,"[16, 8]",1000,1,20,gru,5,12,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
17,tanh,32,1,"[16, 8]",1000,1,20,lstm,5,24,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
18,tanh,32,1,"[64, 32]",1000,1,20,gru,4,12,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
19,tanh,32,1,"[16, 8]",1000,1,20,gru,3,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
20,tanh,16,1,[32],1000,1,20,gru,3,6,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
21,tanh,32,1,"[16, 8]",1000,1,20,gru,3,24,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
22,tanh,32,1,"[8, 4]",1000,1,20,lstm,3,18,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
23,tanh,32,1,"[64, 32]",1000,0.5,20,lstm,4,12,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
24,tanh,32,1,"[8, 4]",1000,1,20,lstm,4,12,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
25,tanh,64,1,[4],1000,1,20,lstm,5,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
26,tanh,32,1,"[8, 4]",1000,1,20,gru,4,24,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
27,tanh,32,1,[32],1000,1,20,lstm,4,18,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
28,tanh,32,1,"[16, 8]",1000,1,20,lstm,5,12,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
29,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,12,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
30,tanh,32,1,"[16, 8]",1000,1,20,lstm,3,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
31,tanh,32,1,"[16, 8]",1000,1,20,gru,5,12,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
32,tanh,32,1,"[16, 8]",1000,1,20,lstm,4,18,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
33,tanh,32,1,"[64, 32]",1000,1,20,lstm,5,12,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
34,tanh,32,1,"[8, 4]",1000,1,20,lstm,4,6,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
35,tanh,16,1,[8],1000,1,20,gru,5,24,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
36,tanh,32,1,"[64, 32]",1000,1,20,gru,3,18,0.5,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
37,tanh,32,1,"[8, 4]",1000,1,20,gru,4,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
38,tanh,32,1,[8],1000,1,20,gru,5,12,0.5,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
39,tanh,32,1,[32],1000,1,20,lstm,5,24,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
40,tanh,32,1,"[16, 8]",1000,1,20,lstm,3,24,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
41,tanh,32,1,"[64, 32]",1000,1,20,lstm,5,6,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
42,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,6,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
43,tanh,32,1,"[8, 4]",1000,1,20,gru,5,18,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
44,tanh,32,1,"[64, 32]",1000,1,20,gru,4,18,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
45,tanh,32,1,"[16, 8]",1000,1,20,lstm,4,18,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
46,tanh,16,1,"[64, 32]",1000,1,20,gru,4,24,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
47,tanh,32,1,"[64, 32]",1000,1,20,lstm,5,12,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
48,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
49,tanh,32,1,"[16, 8]",1000,1,20,gru,5,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]"
